timestamp,temperature,humidity,kilowatt_hours
01-01-2025 00:00,34.35,84.51,399.83
01-01-2025 01:00,25.97,71.98,487.32
01-01-2025 02:00,36.46,45.95,275.33
01-01-2025 03:00,32.43,88.15,114.75
01-01-2025 04:00,17.35,76.73,56.27
01-01-2025 05:00,39.39,73.01,153.35
01-01-2025 06:00,34.03,56.96,109.32
01-01-2025 07:00,34.65,46.33,354.95
01-01-2025 08:00,18.2,35.78,104.82
01-01-2025 09:00,26.26,84.16,277.85
01-01-2025 10:00,24.27,57.35,362.42
01-01-2025 11:00,38.17,42.14,311.5
01-01-2025 12:00,31.1,48.36,139.9
01-01-2025 13:00,,64.75,411.86
01-01-2025 14:00,26.09,40.61,371.93
01-01-2025 15:00,20.68,81.4,382.54
01-01-2025 16:00,28.86,75.51,108.98
01-01-2025 17:00,16.6,73.17,105.69
01-01-2025 18:00,35.69,55.93,467.4
01-01-2025 19:00,30.79,67.64,228.91
01-01-2025 20:00,33.95,65.05,185.43
01-01-2025 21:00,23.86,68.99,269.86
01-01-2025 22:00,39.27,35.07,348.29
01-01-2025 23:00,37.33,54.95,480.03
02-01-2025 00:00,34.46,32.5,178.9
02-01-2025 01:00,19.87,59.64,466.16
02-01-2025 02:00,26.67,49.79,61.19
02-01-2025 03:00,16.1,38.67,299.84
02-01-2025 04:00,18.86,36.2,335.29
02-01-2025 05:00,32.08,65.26,97.65
02-01-2025 06:00,33.62,40.24,113.15
02-01-2025 07:00,39.19,85.51,238.6
02-01-2025 08:00,23.15,64.86,484.8
02-01-2025 09:00,24.26,50.81,318.22
02-01-2025 10:00,26.74,65.45,469.86
02-01-2025 11:00,19.74,31.37,411.96
02-01-2025 12:00,18.25,87.51,260.32
02-01-2025 13:00,26.89,58.94,403.14
02-01-2025 14:00,20.67,76.96,58.03
02-01-2025 15:00,31.75,34.96,99.11
02-01-2025 16:00,25.93,59.2,423.24
02-01-2025 17:00,35.82,59.44,408.57
02-01-2025 18:00,32.51,86.27,154.69
02-01-2025 19:00,22.81,64.3,288.85
02-01-2025 20:00,35.81,58.41,322.71
02-01-2025 21:00,35.12,46.02,440.48
02-01-2025 22:00,24.69,49.89,321.4
02-01-2025 23:00,22.21,61.24,235.66
03-01-2025 00:00,32.06,56.33,218.38
03-01-2025 01:00,18.49,31.3,241.65
03-01-2025 02:00,20,79.58,343.37
03-01-2025 03:00,15.18,83.77,440.37
03-01-2025 04:00,34.67,38.41,254.25
03-01-2025 05:00,31.62,63.24,161.53
03-01-2025 06:00,32.63,36.51,156.5
03-01-2025 07:00,34.52,70.33,385.71
03-01-2025 08:00,26.47,46.87,417.46
03-01-2025 09:00,29.22,69.57,97.38
03-01-2025 10:00,18.49,73.62,79.95
03-01-2025 11:00,,76.12,317.5
03-01-2025 12:00,31.71,36.46,115.78
03-01-2025 13:00,26.78,84.96,421.1
03-01-2025 14:00,29.13,43.81,189.65
03-01-2025 15:00,34.12,32.24,114.74
03-01-2025 16:00,30.87,63.29,464.44
03-01-2025 17:00,28.84,52.26,124.49
03-01-2025 18:00,28.98,79.79,178.12
03-01-2025 19:00,22.6,78.5,119.13
03-01-2025 20:00,15.77,49.03,101.97
03-01-2025 21:00,25.92,87.17,59.52
03-01-2025 22:00,20.36,47.46,74.93
03-01-2025 23:00,25.21,60.9,128.59
04-01-2025 00:00,,45.36,74.02
04-01-2025 01:00,20.85,86.16,316.01
04-01-2025 02:00,16.46,39.88,356.32
04-01-2025 03:00,,32.69,227.13
04-01-2025 04:00,22.34,56.11,193.1
04-01-2025 05:00,31.55,89.54,277.04
04-01-2025 06:00,28.93,83.5,443.75
04-01-2025 07:00,34.6,74.92,433.01
04-01-2025 08:00,31.61,83.45,69.56
04-01-2025 09:00,25.16,83.61,131.67
04-01-2025 10:00,,61.13,156.54
04-01-2025 11:00,19.17,48.96,162.22
04-01-2025 12:00,15.57,76.32,307.05
04-01-2025 13:00,17.25,69.7,237.32
04-01-2025 14:00,33.06,52.42,72.16
04-01-2025 15:00,26.55,35.67,218.13
04-01-2025 16:00,19.03,74.81,285.69
04-01-2025 17:00,27.53,45.75,95.75
04-01-2025 18:00,18.81,86.21,425.06
04-01-2025 19:00,32.41,44.46,73.38
04-01-2025 20:00,26.15,37.37,466.18
04-01-2025 21:00,24.53,79.87,94.6
04-01-2025 22:00,22.54,39.2,429.61
04-01-2025 23:00,30.76,40.76,456.19
05-01-2025 00:00,24.05,65.96,490.81
05-01-2025 01:00,17.19,82.47,410.91
05-01-2025 02:00,17.95,41.79,400.76
05-01-2025 03:00,39.05,48.62,339.12
